Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
29/05/2023 15:00:41,System.Runtime,CPU Usage (%),Metric,0
29/05/2023 15:00:41,System.Runtime,Working Set (MB),Metric,139.993088
29/05/2023 15:00:41,System.Runtime,GC Heap Size (MB),Metric,18.163728
29/05/2023 15:00:41,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:41,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:41,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:41,System.Runtime,ThreadPool Thread Count,Metric,6
29/05/2023 15:00:41,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
29/05/2023 15:00:41,System.Runtime,ThreadPool Queue Length,Metric,0
29/05/2023 15:00:41,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,3
29/05/2023 15:00:41,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
29/05/2023 15:00:41,System.Runtime,Number of Active Timers,Metric,6
29/05/2023 15:00:41,System.Runtime,GC Fragmentation (%),Metric,0
29/05/2023 15:00:41,System.Runtime,GC Committed Bytes (MB),Metric,0
29/05/2023 15:00:41,System.Runtime,Exception Count (Count / 1 sec),Rate,0
29/05/2023 15:00:41,System.Runtime,% Time in GC since last GC (%),Metric,0
29/05/2023 15:00:41,System.Runtime,Gen 0 Size (B),Metric,0
29/05/2023 15:00:41,System.Runtime,Gen 1 Size (B),Metric,0
29/05/2023 15:00:41,System.Runtime,Gen 2 Size (B),Metric,0
29/05/2023 15:00:41,System.Runtime,LOH Size (B),Metric,0
29/05/2023 15:00:41,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
29/05/2023 15:00:41,System.Runtime,Number of Assemblies Loaded,Metric,168
29/05/2023 15:00:41,System.Runtime,IL Bytes Jitted (B),Metric,1379815
29/05/2023 15:00:41,System.Runtime,Number of Methods Jitted,Metric,18759
29/05/2023 15:00:41,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,1.5217000000011467
29/05/2023 15:00:42,System.Runtime,CPU Usage (%),Metric,0
29/05/2023 15:00:43,System.Runtime,CPU Usage (%),Metric,0
29/05/2023 15:00:42,System.Runtime,Working Set (MB),Metric,140.152832
29/05/2023 15:00:42,System.Runtime,GC Heap Size (MB),Metric,18.17192
29/05/2023 15:00:42,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:42,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:42,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:42,System.Runtime,ThreadPool Thread Count,Metric,6
29/05/2023 15:00:42,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
29/05/2023 15:00:42,System.Runtime,ThreadPool Queue Length,Metric,0
29/05/2023 15:00:42,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,5
29/05/2023 15:00:42,System.Runtime,Allocation Rate (B / 1 sec),Rate,8168
29/05/2023 15:00:42,System.Runtime,Number of Active Timers,Metric,6
29/05/2023 15:00:42,System.Runtime,GC Fragmentation (%),Metric,0
29/05/2023 15:00:42,System.Runtime,GC Committed Bytes (MB),Metric,0
29/05/2023 15:00:42,System.Runtime,Exception Count (Count / 1 sec),Rate,0
